,sentence
399," At the lead was one general with a broad open face, a body as an alert tiger's, and a torso as a lofty bear's."
400, His name was Sun Jian.
401," He was a native of Fuchun in the old state of Wu, a descendant of the famous Sun Zi the Strategist."
402,"  When he was seventeen, Sun Jian was with his father on the River Qiantang and saw a party of pirates, who had been plundering a merchant, dividing their booty on the river bank."
403,"  We can capture these,	said he to his father."
404,"  So, gripping his sword, he ran boldly up the bank and cried out to this side and that as if he was calling his men to come on."
405," This made the pirates believe the soldiers were on them and they fled, leaving their booty behind them."
406, He actually killed one of the pirates.
407, In this way be became known and was recommended for office.
408,"  Then, in collaboration with the local officials, he raised a band of one thousand and helped to quell the rebellion of one Xu Chang who called himself the Sun Emperor and had ten thousand supporters."
409, The rebel's son Xu Shao was also slain with his father.
410," For this Sun Jian was commended by Imperial Protector Zang Min in a memorial to the Throne, and he received further promotion to the post of magistrate of Yandu, then of Xuyi, and then of Xiapi."
411,"  When the Yellow Scarves rebellion began, Sun Jian gathered together the youths of his village, some of the merchant class, got a troop of one thousand five hundred of veteran soldiers and took the field."
412, Now he had reached the fighting area.
413,  Zhu Jun welcomed Sun Jian gladly and ordered him to attack the south gate of Wancheng.
414," The north and the west gates were simultaneously attacked by Liu Bei and Zhu Jun, but the east gate was left free to give the rebels a chance of exit."
415, Sun Jian was the first to mount the wall and cut down more than twenty rebels with his  own sword.
416," The rebels ran, but the leader Zhao Hong rode directly at Sun Jian with his spear ready to thrust."
417," Sun Jian leaped down from the wall, snatched away the spear and with it knocked Zhao Hong from the horse."
418," Then Sun Jian, mounting Zhao Hong's horse, rode hither and thither, slaying as he went."
419,  The rebels fled north.
420," Meeting Liu Bei, they declined to fight and scattered."
421," But Liu Bei drew his bow, fitted an arrow, and shot their leader Sun Zhong, who fell to the ground."
422," The main army of Zhu Jun came up, and after tremendous slaughter, the rebels surrendered."
423, Thus was peace brought to the ten counties about the Nanyang area.
424,"  Zhu Jun returned to Capital Luoyang, was promoted to the General of the Flying Cavalry, and received the governorship of Henan."
425, He did not forget those who had helped him to win victory.
426, Thus he reported the merits of Liu Bei and Sun Jian to the Throne.
427,"  Sun Jian, having influential friends and connections to support him, quickly got an appointment to a post of Commander of Changsha and went to assume the new office."
428," But Liu Bei, in spite of Zhu Jun's memorial, waited in vain for preferment, and the three brothers became very sad."
429,"  Walking along one day in the capital, Liu Bei met a court official, Zhang Jun, to whom he related his services and told his sorrows."
430, Zhang Jun was much surprised at this neglect and one day at court spoke to the Emperor about it.
431,"  Said he,	The Yellow Scarves rebelled because the eunuchs sold offices and bartered ranks."
432," There was employment only for their friends, punishment only for their enemies."
433, This led to rebellion.
434, Wherefore it would be well to slay the Ten Eunuchs and expose their heads and proclaim what had been done throughout the whole empire.
435, Then reward the worthy.
436, Thereby the land would be wholly tranquil.
437,"  But the eunuchs fiercely opposed this and said Zhang Jun was insulting the Emperor, and the Emperor bade the guards thrust Zhang Jun out."
438,"  However, the eunuchs took counsel together and one said,	Surely some one who rendered some service against rebels resents being passed over."
439,  So they caused a list of unimportant people to be prepared for preferment by and by.
440," Among them was Liu Bei, who received the post of magistrate of the county of Anxi, to which he proceeded without delay after disbanding his army and sending them home to their villages."
441, He retained two dozens or so as escort.
442,"  The three brothers reached Anxi, and soon the administration of the county was so reformed and the rule so wise that in a month there was no law−breaking."
443," The three brothers lived in harmony, eating at the same table and sleeping on the same couch."
444," But when Liu Bei was in public sessions or in company of others, Guan Yu and Zhang Fei would stand in attendance, were it even a whole day."
445,"  Four months after their arrival, there came out a general order for the reduction of the number of military officers holding civil posts, and Liu Bei began to fear that he would be among those thrown out."
446," In due course the inspecting official, Du Biao by name, arrived and was met at the boundary; but to the polite obeisance of Liu Bei, he made no return, save a wave of his whip as he sat on his horse."
447, This made Guan Yu and Zhang Fei furious; but worse was to follow.
448,"  When the inspector had arrived at his lodging, he took his seat on the dais, leaving Liu Bei standing below."
449, After a long time he addressed Liu Bei.
450,"  Magistrate, what was your origin?"
451,"  Liu Bei replied,	I am descended from Prince Faubus of Zhongshan."
452," Since my first fight with the Yellow Scarves rebels at Zhuo County, I have been in some thirty battles, wherein I gained some trifling merit."
453, My reward was this office.
454,"    You lie about your descent, and your statement of services is false,	roared the inspector."
455,	Now the court has ordered the reduction of your sort of low class and corrupt officials.
456,  Liu Bei muttered to himself and withdrew.
457," On his return to the magistracy, he took council with his secretaries."
458,"  This pompous attitude only means the inspector wants a bribe,	said they."
459,    I have never wronged the people to the value of a single coin; then where is a bribe to come from?
460,	Next day the inspector had the minor officials before him and forced them to bear witness that their master had oppressed the people.
461," Liu Bei time after time went to rebut this charge, but the doorkeepers drove him away and he could not enter."
462,  Now Zhang Fei had been all day drowning his sorrow in wine and had drunk far too much.
463," Calling for his horse he rode out past the lodging of the inspector, and at the gate saw a small crowd of white−haired people weeping bitterly."
464, He asked why.
465,"  They said, The inspector has compelled the underlings to bear false witness against our magistrate, with the desire to injure the virtuous Liu Bei."
466, We came to beg mercy for him but are not permitted to enter.
467," Moreover, we have been beaten by the doorkeepers."
468,  This provoked the irascible and half intoxicated Zhang Fei to fury.
469," His eyes opened wide until they became circles; he ground his teeth; in a moment he was off his steed, had forced his way past the scared doorkeepers into the building, and was in the rear apartments."
